City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint-joseph,-21.3667,55.6167,22.21,84,39,4.06,RE,1694624932
83,talnakh,69.4865,88.3972,11.23,98,100,5.57,RU,1694624932
84,avarua,-21.2078,-159.775,22.03,78,75,4.63,CK,1694624933
85,broome,42.2506,-75.833,23.03,74,75,3.09,US,1694624933
86,prado,-17.3411,-39.2208,25.85,64,26,5.54,BR,1694624933
87,saint-pierre,-21.3393,55.4781,22.82,68,0,5.66,RE,1694624933
88,bordj ghdir,35.9011,4.8981,22.63,51,94,1.21,DZ,1694624933
89,praia da vitoria,38.7333,-27.0667,25.42,89,100,3.16,PT,1694624934
90,el matama,16.7095,33.3565,36.67,27,99,0.38,SD,1694624934
91,namibe,-15.1961,12.1522,17.71,80,28,4.74,AO,1694624934
92,batu pahat,1.8548,102.9325,25.21,88,81,3.04,MY,1694624934
93,gamba,-2.65,10.0,23.81,79,21,4.65,GA,1694624935
94,hamilton,39.1834,-84.5333,24.44,53,0,4.63,US,1694624709
95,taroa,8.7058,171.2275,28.15,75,85,4.94,MH,1694624935
96,pucon,-39.2822,-71.9543,9.28,89,100,2.46,CL,1694624935
97,ribeira grande,38.5167,-28.7,24.32,94,75,3.58,PT,1694624935
98,novyy urengoy,66.0833,76.6333,12.29,69,11,4.39,RU,1694624936
99,kapa'a,22.0752,-159.319,24.18,88,20,5.66,US,1694624936
100,wuwei,37.9281,102.6414,21.46,30,99,2.31,CN,1694624936
101,sao joao da barra,-21.6403,-41.0511,29.05,74,1,9.41,BR,1694624936
102,tazovsky,67.4667,78.7,11.42,76,89,5.71,RU,1694624936
103,laramie,41.3114,-105.5911,20.61,32,57,2.22,US,1694624827
104,tura,25.5198,90.2201,24.09,96,68,1.92,IN,1694624937
105,murwara,23.85,80.4,24.47,96,100,2.28,IN,1694624937
106,guerrero negro,27.9769,-114.0611,24.61,63,0,6.19,MX,1694624937
107,kingston,17.997,-76.7936,32.53,66,20,3.6,JM,1694624635
108,saipan,15.1355,145.701,28.39,89,20,3.09,MP,1694624938
109,west island,-12.1568,96.8225,25.99,78,100,7.72,CC,1694624943
110,college,64.8569,-147.8028,7.67,84,75,0.0,US,1694624943
111,broken hill,-31.95,141.4333,16.62,34,13,4.28,AU,1694624944
112,hermanus,-34.4187,19.2345,13.78,76,0,8.81,ZA,1694624944
113,vorgashor,67.5833,63.95,11.66,74,56,6.32,RU,1694624944
114,isafjordur,66.0755,-23.124,10.02,57,0,4.12,IS,1694624945
115,nemuro,43.3236,145.575,18.06,100,97,0.55,JP,1694624945
116,punta arenas,-53.15,-70.9167,7.06,57,75,5.66,CL,1694624945
117,thunder bay,48.4001,-89.3168,13.99,67,40,2.06,CA,1694624480
118,port alfred,-33.5906,26.891,18.43,82,9,8.17,ZA,1694624946
119,atafu village,-8.5421,-172.5159,28.47,77,13,6.48,TK,1694624946
120,tshabong,-26.05,22.45,20.93,26,0,4.83,BW,1694624946
121,golyshmanovo,56.3979,68.3728,10.83,75,26,2.81,RU,1694624946
122,tonghua,41.7201,125.9219,11.4,91,0,0.86,CN,1694624947
123,kralendijk,12.15,-68.2667,33.99,59,0,5.14,BQ,1694624902
124,camana,-16.6228,-72.7111,20.08,72,74,5.79,PE,1694624947
125,island harbour,50.724,-1.2758,20.52,77,56,3.3,GB,1694624947
126,mooloolaba,-26.6833,153.1167,15.59,94,55,1.77,AU,1694624948
127,tsiombe,-25.3,45.4833,19.37,77,100,7.41,MG,1694624948
128,vilyuchinsk,52.9306,158.4028,15.14,93,100,3.27,RU,1694624948
129,udachny,66.4167,112.4,1.36,92,75,4.99,RU,1694624949
130,wad rawah,15.1603,33.1397,34.56,32,95,0.81,SD,1694624949
131,kimbe,-5.5502,150.1429,23.72,90,100,2.51,PG,1694624949
132,pilar,-9.5972,-35.9567,26.96,71,39,4.98,BR,1694624949
